DATE,spindx
20000505,1432.63
20000508,1424.17
20000509,1412.14
20000510,1383.05
20000511,1407.81
20000512,1420.96
20000515,1452.36
20000516,1466.04
20000517,1447.80
20000518,1437.21
20000519,1406.95
20000522,1400.72
20000523,1373.86
20000524,1399.05
20000525,1381.52
20000526,1378.02
20000530,1422.45
20000531,1420.60
20000601,1448.81
20000602,1477.26
20000605,1467.63
20000606,1457.84
20000607,1471.36
20000608,1461.67
20000609,1456.95
20000612,1446.00
20000613,1469.44
20000614,1470.54
20000615,1478.73
20000616,1464.46
20000619,1486.00
20000620,1475.95
20000621,1479.13
20000622,1452.18
20000623,1441.48
20000626,1455.31
20000627,1450.55
20000628,1454.82
20000629,1442.39
20000630,1454.60
20000703,1469.54
20000705,1446.23
20000706,1456.67
20000707,1478.90
20000710,1475.62
20000711,1480.88
20000712,1492.92
20000713,1495.84
20000714,1509.98
20000717,1510.49
20000718,1493.74
20000719,1481.96
20000720,1495.57
20000721,1480.19
20000724,1464.29
20000725,1474.47
20000726,1452.42
20000727,1449.62
20000728,1419.89
20000731,1430.83
20000801,1438.10
20000802,1438.70
20000803,1452.56
20000804,1462.93
20000807,1479.32
20000808,1482.80
20000809,1472.87
20000810,1460.25
20000811,1471.84
20000814,1491.56
20000815,1484.43
20000816,1479.85
20000817,1496.07
20000818,1491.72
20000821,1499.48
20000822,1498.13
20000823,1505.97
20000824,1508.31
20000825,1506.45
20000828,1514.09
20000829,1509.84
20000830,1502.59
20000831,1517.68
20000901,1520.77
20000905,1507.08
20000906,1492.25
20000907,1502.51
20000908,1494.50
20000911,1489.26
20000912,1481.99
20000913,1484.91
20000914,1480.87
20000915,1465.81
20000918,1444.51
20000919,1459.90
20000920,1451.34
20000921,1449.05
20000922,1448.72
20000925,1439.03
20000926,1427.21
20000927,1426.57
20000928,1458.29
20000929,1436.51
20001002,1436.23
20001003,1426.46
20001004,1434.32
20001005,1436.28
20001006,1408.99
20001009,1402.03
20001010,1387.02
20001011,1364.59
20001012,1329.78
20001013,1374.17
20001016,1374.62
20001017,1349.97
20001018,1342.13
20001019,1388.76
20001020,1396.93
20001023,1395.78
20001024,1398.13
20001025,1364.90
20001026,1364.44
20001027,1379.58
20001030,1398.66
20001031,1429.40
20001101,1421.22
20001102,1428.32
20001103,1426.69
20001106,1432.19
20001107,1431.87
20001108,1409.28
20001109,1400.14
20001110,1365.98
20001113,1351.26
20001114,1382.95
20001115,1389.81
20001116,1372.32
20001117,1367.72
20001120,1342.62
20001121,1347.35
20001122,1322.36
20001124,1341.77
20001127,1348.97
20001128,1336.09
20001129,1341.93
20001130,1314.95
20001201,1315.23
20001204,1324.97
20001205,1376.54
20001206,1351.46
20001207,1343.55
20001208,1369.89
20001211,1380.20
20001212,1371.18
20001213,1359.99
20001214,1340.93
20001215,1312.15
20001218,1322.74
20001219,1305.60
20001220,1264.74
20001221,1274.86
20001222,1305.97
20001226,1315.19
20001227,1328.92
20001228,1334.22
20001229,1320.28
20010102,1283.27
20010103,1347.56
20010104,1333.34
20010105,1298.35
20010108,1295.86
20010109,1300.80
20010110,1313.27
20010111,1326.82
20010112,1318.32
20010116,1326.65
20010117,1329.47
20010118,1347.97
20010119,1342.54
20010122,1342.90
20010123,1360.40
20010124,1364.30
20010125,1357.51
20010126,1354.95
20010129,1364.17
20010130,1373.73
20010131,1366.01
20010201,1373.47
20010202,1349.47
20010205,1354.31
20010206,1352.26
20010207,1340.89
20010208,1332.53
20010209,1314.76
20010212,1330.31
20010213,1318.80
20010214,1315.92
20010215,1326.61
20010216,1301.53
20010220,1278.94
20010221,1255.27
20010222,1252.82
20010223,1245.86
20010226,1267.65
20010227,1257.94
20010228,1239.94
20010301,1241.23
20010302,1234.18
20010305,1241.41
20010306,1253.80
20010307,1261.89
20010308,1264.74
20010309,1233.42
20010312,1180.16
20010313,1197.66
20010314,1166.71
20010315,1173.56
20010316,1150.53
20010319,1170.81
20010320,1142.62
20010321,1122.14
20010322,1117.58
20010323,1139.83
20010326,1152.69
20010327,1182.17
20010328,1153.29
20010329,1147.95
20010330,1160.33
20010402,1145.87
20010403,1106.46
20010404,1103.25
20010405,1151.44
20010406,1128.43
20010409,1137.59
20010410,1168.38
20010411,1165.89
20010412,1183.50
20010416,1179.68
20010417,1191.81
20010418,1238.16
20010419,1253.70
20010420,1242.98
20010423,1224.36
20010424,1209.47
20010425,1228.75
20010426,1234.52
20010427,1253.05
20010430,1249.46
20010501,1266.44
20010502,1267.43
20010503,1248.58
20010504,1266.61
20010507,1263.51
20010508,1261.20
20010509,1255.54
20010510,1255.18
